Index,Churn_Prob_Before,Churn_Prob_After,Delta,Improvement Suggestion
536.0,0.0003,0.0003,0.0,No change required
537.0,0.0005,0.0005,0.0,No change required
538.0,0.0056,0.0056,0.0,No change required
539.0,0.0024,0.0024,0.0,No change required
540.0,0.0023,0.0023,0.0,No change required
541.0,0.0148,0.0148,0.0,No change required
542.0,0.2667,0.2667,0.0,No change required
543.0,0.002,0.002,0.0,No change required
544.0,0.0024,0.0024,0.0,No change required
545.0,0.0012,0.0012,0.0,No change required
546.0,0.2403,0.2403,0.0,No change required
547.0,0.5736,0.49779999256134033,0.0758,"Total eve minutes: 170.20 → 170.90, Total eve calls: 105.00 → 118.00"
548.0,0.0043,0.0043,0.0,No change required
549.0,0.9999,0.000699999975040555,0.9992,Total day minutes: 324.70 → 93.00
550.0,0.0006,0.0006,0.0,No change required
551.0,0.0034,0.0034,0.0,No change required
552.0,0.9998,0.24070000648498535,0.7591,"Total eve calls: 94.00 → 111.00, Total night minutes: 306.20 → 45.10"
553.0,0.0129,0.0129,0.0,No change required
554.0,0.0045,0.0045,0.0,No change required
555.0,0.0086,0.0086,0.0,No change required
556.0,0.0003,0.0003,0.0,No change required
557.0,0.008,0.008,0.0,No change required
558.0,0.0691,0.0691,0.0,No change required
559.0,0.0059,0.0059,0.0,No change required
560.0,0.0052,0.0052,0.0,No change required
561.0,0.9999,0.0005000000237487257,0.9993,"International plan: 0.00 → 1.00, Total day minutes: 296.00 → 179.10"
562.0,0.0002,0.0002,0.0,No change required
563.0,0.0022,0.0022,0.0,No change required
564.0,0.0048,0.0048,0.0,No change required
565.0,0.0076,0.0076,0.0,No change required
566.0,0.001,0.001,0.0,No change required
567.0,0.0117,0.0117,0.0,No change required
568.0,0.0292,0.0292,0.0,No change required
569.0,0.0012,0.0012,0.0,No change required
570.0,0.0026,0.0026,0.0,No change required
571.0,0.0057,0.0057,0.0,No change required
572.0,1.0,0.002099999925121665,0.9979,"Voice mail plan: 0.00 → 1.00, Total day minutes: 276.90 → 99.30"
573.0,0.9996,0.0210999995470047,0.9785,Total day minutes: 287.40 → 207.30
574.0,0.0006,0.0006,0.0,No change required
575.0,0.0341,0.0341,0.0,No change required
576.0,0.001,0.001,0.0,No change required
577.0,0.0002,0.0002,0.0,No change required
578.0,0.0031,0.0031,0.0,No change required
579.0,0.0117,0.0117,0.0,No change required
580.0,0.0139,0.0139,0.0,No change required
581.0,0.0046,0.0046,0.0,No change required
582.0,0.9891,0.010999999940395355,0.978,Total day minutes: 128.60 → 238.00
583.0,0.0001,0.0001,0.0,No change required
584.0,0.0009,0.0009,0.0,No change required
585.0,0.0046,0.0046,0.0,No change required
586.0,0.0072,0.0072,0.0,No change required
587.0,0.0234,0.0234,0.0,No change required
588.0,0.0154,0.0154,0.0,No change required
589.0,0.0057,0.0057,0.0,No change required
590.0,0.9997,0.005200000014156103,0.9945,"State: 22.00 → 20.00, Total intl minutes: 13.80 → 7.70"
591.0,0.0016,0.0016,0.0,No change required
592.0,0.0001,0.0001,0.0,No change required
593.0,0.9575,0.09640000015497208,0.8611,"Voice mail plan: 0.00 → 1.00, Total eve minutes: 302.60 → 79.00"
594.0,0.0175,0.0175,0.0,No change required
595.0,0.0003,0.0003,0.0,No change required
596.0,0.0007,0.0007,0.0,No change required
597.0,0.0166,0.0166,0.0,No change required
598.0,0.0103,0.0103,0.0,No change required
599.0,0.0006,0.0006,0.0,No change required
600.0,0.0007,0.0007,0.0,No change required
601.0,0.0145,0.0145,0.0,No change required
602.0,0.0014,0.0014,0.0,No change required
603.0,0.0095,0.0095,0.0,No change required
604.0,0.0003,0.0003,0.0,No change required
605.0,0.0079,0.0079,0.0,No change required
606.0,0.9971,0.08160000294446945,0.9155,"Number vmail messages: 0.00 → 26.00, Total eve minutes: 237.20 → 62.60"
607.0,0.0006,0.0006,0.0,No change required
608.0,0.0008,0.0008,0.0,No change required
609.0,0.0007,0.0007,0.0,No change required
610.0,0.0005,0.0005,0.0,No change required
611.0,0.1644,0.1644,0.0,No change required
612.0,0.0004,0.0004,0.0,No change required
613.0,0.0554,0.0554,0.0,No change required
614.0,0.5148,0.04439999908208847,0.4703,"State: 31.00 → 6.00, Voice mail plan: 0.00 → 1.00"
615.0,0.9828,0.029400000348687172,0.9534,"Total day minutes: 113.30 → 255.60, Total night minutes: 284.50 → 367.60"
616.0,0.0064,0.0064,0.0,No change required
617.0,0.1465,0.1465,0.0,No change required
618.0,0.5678,0.25189998745918274,0.316,"Total eve minutes: 179.40 → 69.90, Total eve calls: 79.00 → 41.00"
619.0,0.2475,0.2475,0.0,No change required
620.0,0.0102,0.0102,0.0,No change required
621.0,0.1685,0.1685,0.0,No change required
622.0,0.0054,0.0054,0.0,No change required
623.0,0.001,0.001,0.0,No change required
624.0,0.0245,0.0245,0.0,No change required
625.0,0.0812,0.0812,0.0,No change required
626.0,0.0025,0.0025,0.0,No change required
627.0,0.0091,0.0091,0.0,No change required
628.0,0.0015,0.0015,0.0,No change required
629.0,0.0008,0.0008,0.0,No change required
630.0,0.0022,0.0022,0.0,No change required
631.0,0.0034,0.0034,0.0,No change required
632.0,0.0021,0.0021,0.0,No change required
633.0,0.0029,0.0029,0.0,No change required
634.0,0.0083,0.0083,0.0,No change required
635.0,0.0216,0.0216,0.0,No change required
636.0,0.0054,0.0054,0.0,No change required
637.0,0.0016,0.0016,0.0,No change required
638.0,0.0042,0.0042,0.0,No change required
639.0,0.0022,0.0022,0.0,No change required
640.0,0.0107,0.0107,0.0,No change required
641.0,0.0009,0.0009,0.0,No change required
642.0,0.0001,0.0001,0.0,No change required
643.0,0.0003,0.0003,0.0,No change required
644.0,0.0018,0.0018,0.0,No change required
645.0,0.0102,0.0102,0.0,No change required
646.0,0.0297,0.0297,0.0,No change required
647.0,0.0112,0.0112,0.0,No change required
648.0,0.0185,0.0185,0.0,No change required
649.0,0.0007,0.0007,0.0,No change required
650.0,0.0003,0.0003,0.0,No change required
651.0,0.0059,0.0059,0.0,No change required
652.0,0.9998,0.020999999716877937,0.9788,"Voice mail plan: 0.00 → 1.00, Total eve calls: 97.00 → 44.00"
653.0,0.9998,0.010599999688565731,0.9892,"Total day minutes: 295.00 → 119.30, Total intl calls: 4.00 → 1.00"
654.0,0.0016,0.0016,0.0,No change required
655.0,0.0658,0.0658,0.0,No change required
656.0,0.5286,0.02810000069439411,0.5005,"Total day minutes: 238.40 → 209.30, Total night charge: 8.93 → 14.07"
657.0,0.0192,0.0192,0.0,No change required
658.0,0.0002,0.0002,0.0,No change required
659.0,0.0005,0.0005,0.0,No change required
660.0,0.0009,0.0009,0.0,No change required
661.0,0.9687,0.019999999552965164,0.9488,"Total eve minutes: 202.20 → 149.10, Total night calls: 103.00 → 146.00"
662.0,0.0001,0.0001,0.0,No change required
663.0,0.0148,0.0148,0.0,No change required
664.0,0.0001,0.0001,0.0,No change required
665.0,0.004,0.004,0.0,No change required
666.0,0.0016,0.0016,0.0,No change required
